Audios:	Translation	Gender:
/content/drive/MyDrive/dataset/clips/1.wav	مجھے یہ سبجیکٹ بہت پسند ہے	Male
/content/drive/MyDrive/dataset/clips/2.wav	بینکرزلوگوں کا پیسہ محفوظ رکھتے ہیں	Male
/content/drive/MyDrive/dataset/clips/3.wav	یہ لواس میں تمہاری چیک بک ہے	Male
/content/drive/MyDrive/dataset/clips/4.wav	یہ سارا اہتمام شادی کے لئے ہے	Male
/content/drive/MyDrive/dataset/clips/5.wav	اگر یہ دنیا میری ہوتی تو میں تمہیں دے دیتا	Male
/content/drive/MyDrive/dataset/clips/6.wav	اتنی زیادہ رقم ملے گی	Male
/content/drive/MyDrive/dataset/clips/7.wav	یہ میری سیونگز ہیں	Male
/content/drive/MyDrive/dataset/clips/8.wav	أمامہ ہم کل کراچی جا رہے ہیں	Male
/content/drive/MyDrive/dataset/clips/9.wav	تمہیں ساتھ لے کر آنے سے مجھے اچھا لگ رہا ہے	Male
/content/drive/MyDrive/dataset/clips/10.wav	میں نے سوچا کے ہوٹل میں ٹھہرے گے 	Male
/content/drive/MyDrive/dataset/clips/11.wav	وہ بہت خوش ہے اس لئے میں بھی خوش ہوں	Male
/content/drive/MyDrive/dataset/clips/12.wav	بوندا باری ہو رہی ہے	Male
/content/drive/MyDrive/dataset/clips/13.wav	اس کو مجھ سے ہمدردی ہے	Male
/content/drive/MyDrive/dataset/clips/14.wav	میں ہماری گفتگو سے لطف اندوز ہوا	Male
/content/drive/MyDrive/dataset/clips/15.wav	یار میرا کام تو بن گیا ہے 	Male
/content/drive/MyDrive/dataset/clips/16.wav	آپ کے ساتھ ہونا ہی میری پسندیدہ جگہ ہے 	Male
/content/drive/MyDrive/dataset/clips/17.wav	مجھے ہمیشہ سے اس کو دیکھ کر فرحت ہوئی ہے	Male
/content/drive/MyDrive/dataset/clips/18.wav	مجھے خوشی ہے کہ وہ بھی یہاں ہوں گے	Male
/content/drive/MyDrive/dataset/clips/19.wav	پھول بھی خوشی دیتے ہیں	Male
/content/drive/MyDrive/dataset/clips/20.wav	مبارک ہو ہم میچ جیت گئے	Male
/content/drive/MyDrive/dataset/clips/21.wav	اتنے عرصے بعد تمہیں دیکھ کر خوشی ہوئی	Female
/content/drive/MyDrive/dataset/clips/22.wav	یہ میری زندگی کا سب سے خوبصورت دن ہے	Female
/content/drive/MyDrive/dataset/clips/23.wav	بارش مجھے بہت پسند ہے 	Female
/content/drive/MyDrive/dataset/clips/24.wav	خوبصورت گفٹ کے لیے شکریہ	Female
/content/drive/MyDrive/dataset/clips/25.wav	میں کچھ دنوں تک بالکل ٹھیک ہو جاؤگی	Female
/content/drive/MyDrive/dataset/clips/26.wav	آپ کو شادی کی بہت بہت مبارک ہو 	Female
/content/drive/MyDrive/dataset/clips/27.wav	مجھے آپ کی کامیابی دیکھ کر بہت خوشی ملی	Female
/content/drive/MyDrive/dataset/clips/28.wav	میں خالہ کے گھر جانے کی تیاری کر رہی ہوں	Female
/content/drive/MyDrive/dataset/clips/29.wav	آپ سے مل کر پریشانی دور ہو گئی	Female
/content/drive/MyDrive/dataset/clips/30.wav	اس کے پاس پیسے نہیں تھے اس لیے میں نےبل دے دیا 	Female
/content/drive/MyDrive/dataset/clips/31.wav	تم نے کیا جادو کیا ہوا ہے مجھ پہ	Male
/content/drive/MyDrive/dataset/clips/32.wav	وہ میرے ساتھ خوش ہے اور میں اس کے ساتھ خوش ہوں 	Male
/content/drive/MyDrive/dataset/clips/33.wav	مجھے سب کھانے پسند ہیں	Male
/content/drive/MyDrive/dataset/clips/34.wav	ٹھیک ہے مجھے سن کر خوشی ہوئی	Male
